EntityName,EntityRecordLimit,TypeName,RecordTypeLimit
relis_new_2_cps,1,ref_exclusioncrieria,1
relis_new_2_da_sdf,3,ref_exclusioncrieria,3
relis_new_2_da_sdg,6,ref_exclusioncrieria,6
relis_new_2_extremo,7,ref_exclusioncrieria,7
relis_new_2_LC,8,ref_exclusioncrieria,8
relis_new_2_LC2021,8,ref_exclusioncrieria,8
relis_new_2_mobileAndMDE,4,ref_exclusioncrieria,4
relis_new_2_mobileapps_6252,2,ref_exclusioncrieria,2
relis_new_2_rl4se,5,ref_exclusioncrieria,5
relis_new_2_smsUpdateCollabMDE,8,ref_exclusioncrieria,8
